web-scraper-order,legalWords,definitions
1677951388-73,Curatory/Judicial Factor Accounts:,"Where people are too young, or infirm, to look after their own (financial) affairs they have someone appointed to do so (a curator or judicial factor). These appointments are made by the Court and those appointed have to account for their intermission on the estate of the ‘incapax’."
1677951388-74,Custody Order:,now known as a “Residence Order”.
1677951388-75,Cy Pres:,Approximation? as near as possible.
1677951388-76,Debate:,"Intermediate step in procedure when legal points are considered, and which can result in the conclusion of a civil case prior to evidence being led."
1677951388-77,Debtor:,A person obliged to pay some monetary or other obligation to another (the creditor).
1677951388-78,Decern:,A formal verb meaning to give final decree or judgement.
1677951388-79,Decree:,"The common term for a final judgement. (The word as is accented on the first syllable). Thus decree arbitral, the decision of an arbiter? decree conform, a decree given by the Court of Session in aid of a lower court to enable diligence to be done."
1677951388-80,Decrees in Absence:,Applications to the court dealt with by the Sheriff in his chambers in the “absence” of opposition thereto.
1677951388-81,De facto:,According to the fact? in point of fact.
1677951388-82,Defences:,"The statement by way of defence lodged by the defender, being the party against whom a civil action is brought. The plural signifies, presumably, that the defender may rely on more legal answers than one."
1677951388-83,Defender:,A person who disputes the claim of the pursuer and lodges defences.
1677951388-84,De fideli administratione:,Of faithful administration (This phrase is used to describe an oath perhaps to a translator for a witness).
1677951388-85,De jure:,"According to law, or in point of law."
1677951388-86,De novo:,Of new.
1677951388-87,De plano:,"Immediately, summarily, without attention to forms."
1677951388-88,Diet:,The date fixed by the court for hearing a case for any one of a variety of purposes.
1677951388-89,Diligence:,Procedure for enforcing decree against debtors? Process for procuring the recovery of writings from an opponent or third party? or Process for obtaining the evidence of witnesses before a commissioner.
1677951388-90,Discharge:,Release.
1677951388-91,Dispone:,"To grant transfer, applied usually to heritage."
1677951388-92,District Court:,"The court in each district or island area dealing with the most minor criminal offences, which replaced the burgh or magistrates courts existing before the local government reorganisation in 1975."
1677951388-93,Eik to confirmation:,Title of Executor to additional estate.
1677951388-94,Eodem die (eo die):,The same day.
1677951388-95,Et sequentes paginae (Et seq):,And following pages.
1677951388-96,Evidence Led:,"When a trial (either summary or solemn) calls in Court it will either – (a) proceed (evidence will be led by the Crown and the Defence)? (b) Evidence will be partly led and the trial continued to another date? (c) The trial may be adjourned to another date for some reason (with no evidence led)? or (d) it may be disposed of - either the Crown no longer proceeds, or a plea to the charge is accepted."
1677951388-97,Executor dative:,Executor appointed by the Court.
1677951388-98,Executor nominate:,Executor named in a Will.
1677951388-99,Ex facie:,On the face of it? evidently.
1677951388-100,Ex officio:,As holder of a particular office or appointment.
1677951388-101,Exoner:,To discharge of liability. Thus a judicial factor may seek exoneration and discharge at the hands of the court.
1677951388-102,Ex parte:,"Proceedings are ex parte when the party against whom they are brought is not heard, e.g. in interdict proceedings an interim interdict may be granted ex parte."
1677951388-103,Expede Confirmation:,To lodge the necessary documents in court and to obtain a Grant of Confirmation in favour of an Executor.
1677951388-104,Ex post facto:,From something done afterwards.
1677951388-105,Ex proprio motu:,On the court’s or judge’s own initiative.
1677951388-106,Ex tempore:,At the time. e.g. an ex tempore judgement given there and then.
1677951388-107,Extract:,"A written instrument signed by the officer of court, containing a statement of a decree and if necessary, a warrant to charge the debtor and to execute all competent diligence against person or property."
1677951388-108,Extract Decree / Copy Interlocutor:,Each step of an Ordinary Action (one other than a summary cause or small claim) is recorded in an interlocutor. It is a short summary of what has happened to the case each time it comes before the Sheriff. A copy of the interlocutor is enough in some instances to carry out the order of the Court (what the Sheriff had decided). An extract decree is required where a copy interlocutor would not do and a more formal document is required.
1677951388-109,Extrajudicial:,"The word today occurs perhaps most often in the expression extrajudicial expenses, meaning expenses incurred outwith the normal course of judicial proceedings and as such not normally recoverable by a successful party from his opponent."
1677951388-110,Feu duty:,Perpetual ground rent.
1677951388-111,Fiar:,The person entitled to the fee of say Land or Securities which may be liferented by another.
1677951388-112,Fiat ut petitur:,Let it be done as prayed for.
1677951388-113,First Deliverance:,"First order in proceedings. Term normally used for liquidations, sequestrations and other civil matters."
1677951388-114,Forum non conveniens:,As applied to a court which although having jurisdiction is not the appropriate court for the matter in issue.
1677951388-115,Fund in medio:,The property or money in the hands of the holder of the fund in an action of multiplepoinding.
1677951388-116,Germane:,Of full blood? born or deceased of the same father and mother.
1677951388-117,Germane (1):,Of full blood? born or deceased of the same father and mother.
1677951388-118,Habili modo:,In the manner competent.
1677951388-119,Heirs in mobilibus:,Nearest heirs including representatives of predeceasers entitled to succeed to moveable estate as opposed to heritage.
1677951388-120,Heritable Estate/Property:,The term for property in the form of land and houses.
1677951388-121,Holograph Writ:,A deed or writing handwritten entirely by the grantor. Where printed or otherwise mechanically produced or written by another the grantor may “adopt as Holograph” which has the same effect as if wholly written by the grantor. Applies only to wills made before 1 August 1995.
1677951388-122,Ibidem (Ibid):,In the same place.
1677951388-123,Incapax:,"As applied to a person, signifies legal, mental, or physical incapacity."
1677951388-124,Indictment:,"An accusation of crime running in the name of the Lord Advocate, tried by a jury, in serious cases in the High Court, or in sheriff court. A document setting out the charge(s) against the accused in more serious crimes (known as – Solemn Crime). For less serious crimes, see – Summary Crime."
1677951388-125,In foro:,"As applied to a decree of the court signifies that it has been granted against a party for whom defences or answers have been lodged, as opposed to decree in absence."
1677951388-126,Inhibition:,A writ which prohibits a debtor from burdening his heritage or parting with it to the detriment of the inhibiting creditor.
1677951388-127,In hoc statu:,"For the time being, at this stage."
1677951388-128,Initial Writ:,The document by which ordinary civil proceedings in the sheriff court are normally initiated the corresponding document in the Court of Session being the summons.
1677951388-129,In litem:,In the case or action.
1677951388-130,In meditatione fugae:,About to leave the country.
1677951388-131,Inner House:,"The two appellate divisions of the Court of Session, socalled originally on the simple topographical ground that their courts lay further from the entrance to the courthouse than did the Outer House."
1677951388-132,In perpetuum:,Forever.
1677951388-133,In praesentia dominorum (IPD):,In the presence of the Lords (usually seen as the abbreviation I.P.D. after the signature of the chairman of the Appeal Court).
1677951388-134,In retentis:,Evidence taken to lie in retentis – to be laid aside until the proper time arrives for adducing it.
1677951388-135,Insolvency:,The state of being unable to pay one’s debts.
1677951388-136,Insolvency practitioner:,"A person, usually an accountant or solicitor, qualified in terms of the Insolvency Act 1986 to act as liquidator or supervisor in relation to a company or as trustee or supervisor in relation to an individual."
1677951388-137,Instance:,The part of a summons or writ in which the parties to the action are identified.
1677951388-138,Interlocutor:,An injunction or order of court made during the course of an action.
1677951388-139,Interlocutor (final):,Final decision of the action.
1677951388-140,Intermediate diet:,Mandatory step in criminal proceedings which allows the court to check whether the case is likely to proceed on the date assigned for trial. Minimises inconvenience to witnesses etc.
1677951388-141,Inter alia:,among other things.
1677951388-142,Interdict:,"The judicial prohibition issued by the Court of Session or Sheriff Court comparable with the English injunction In an emergency, interim interdict can be obtained ex parte. A court order sought to prevent a particular action being carried out."
1677951388-143,Interim:,"As applied to the ruling of a court, temporary or partial, e.g. in matters of interdict."
1677951388-144,Interrogatories:,"Written questions adjusted by the court, to be put to witnesses examined under a commission."
1677951388-145,Inter vivos:,Between living persons.
1677951388-146,Inventory of Deceased’s Estate:,List of deceased estate.
1677951388-147,Inventory of Process (1):,A list of the documents in a court process.
1677951388-148,Ipso facto:,By that very fact.
1677951388-149,Ipso jure:,By the law itself.
1677951388-150,Judicial Factor:,Usually a solicitor or accountant appointed by the court in specific matters.
1677951388-151,Judicial Review:,"A remedy whereby the Court of Session may review and if necessary rectify the decision of inferior courts, tribunals and other public officers and authorities where no other form of appeal is available."
1677951388-152,Jurisdiction:,(i) In international law the power of the state to enact and enforce legislation. (ii) In national systems the power of a court to entertain particular cases as determined by factors such as location or district or the value or type of the case.
1677951388-153,Jury:,A group of lay persons chosen to decide upon issues of fact in legal proceedings.
1677951388-154,Jus relictae:,The right of a widow / civil partner (one half or one third as the case may be) in her deceased husband’s / civil partner’s personal estate.
1677951388-155,Jus relicti:,The right of a widower / civil partner (one half or one third as the case may be) in his deceased wife’s / civil partner’s personal estate.
1677951388-156,"Justice-Clerk, Lord:","The second in dignity of the Scottish judges, who presides over the Second Division of the Court of Session."
1677951388-157,"Justice - General, Lord:","The highest criminal judge in Scotland. The position is, in modern times, held by the Lord President."
1677951388-158,Lawyer Member:,This refers to a Member or Commissioner of the SLCC who is: a solicitor who is a member of the Law Society of Scotland; an advocate who is a member of the Faculty of Advocates; a conveyancing or executry practitioner regulated by the Law Society of Scotland; a member of the Association of Commercial Attorneys or any person exercising a right to conduct litigation or a right of audience.
1677951388-159,Lay Member:,"This refers to a Member or Commissioner of the SLCC who does not fall within the terms of ""lawyer member""."
1677951388-160,Lack of Time Adjournment:,"This occurs when a case is down for trial or proof etc. but cannot proceed because other business takes priority on the day. Witnesses etc. inconvenienced, waiting periods affected."
1677951388-161,Legitim:,The legal share (one half or one third as the case may be) of a parent’s free moveable estate due on death to the children.
1677951388-162,Life rent:,An estate for life as opposed to the fee. Legal liferents are Terce (dower) and Courtesy.
1677951388-163,Liquidation:,"The procedure for winding up and dissolving a corporate body such as a limited company, the person appointed to ingather assets and adjust and settle claims being called the liquidator."
1677951388-164,Loco parentis:,In place of a parent.
1677951388-165,Loco tutoris:,In the place of a tutor.
1677951388-166,Locus:,Place.
1677951388-167,Mace:,An ornamental staff of authority borne by a macer before a judge of the Court of Session or High Court of Justiciary and displayed in his/her court while it is sitting.
1677951388-168,Matrimonial home:,Any structure provided by one or both spouses / civil partners and forming a family residence.
1677951388-169,Mens rea:,Guilty purpose.
1677951388-170,Messengers-at-Arms:,"Formerly called OfficersatArms, are officers appointed by the Lord Lyon King of Arms, whose function is to execute civil and criminal process of the Court of Session and High Court of Justiciary."
1677951388-171,Missive of Sale:,Agreement setting forth terms of sale.
1677951388-172,Mora:,Undue delay.
1677951388-173,Mortis causa:,Deeds made in contemplation of death.
1677951388-174,Motion:,An application made in court for some subsidiary purpose during the course of an action.
1677951388-175,Moveable Estate:,Personal estate.
1677951388-176,Multiplepoinding:,An action to determine the rights of parties to a fund in dispute and to release the holder of the fund from any claim for repetition.
1677951388-177,Mutatis mutandis:,"With the necessary alterations, e.g in a document or clause applying to various circumstances."
1677951388-178,Next of Kin:,Survivors of a class nearest in degree including representatives or predeceasers in that class.
1677951388-179,Nobile officium:,"The noble office or duty of the Court of Session? an equitable jurisdiction in virtue of which the court may, within limits, mitigate the strictness of the common law and provide a legal remedy where none exists."
1677951388-180,Notes of Appeal / Stated Case:,"When someone wishes to appeal from the Sheriff Court to the High Court, they do so by either method. If they wish to appeal against sentence only (i.e. the severity) they appeal by note of appeal. If they wish to appeal against conviction and/or sentence they appeal by stated case."
1677951388-181,Nullity:,Non existent or lacking legal force as applied to acts or writings which are null and void: also applies to a marriage / civil partnership affected by an inherent defect such as existence of a prior marriage / civil partnership or relationship within a prohibited degree.
1677951388-182,Oath:,"In court proceedings the undertaking by a witness to give truthful evidence, the alternative for a witness having no religious belief being affirmation."
1677951388-183,Obiter dictum:,Opinion given incidentally.
1677951388-184,Obtemper:,"To obey, usually of the decree or order of a court."
1677951388-185,Opinion:,A statement by a court or judge of reasons for the decision in a case.
1677951388-186,Ordinary Action:,All sheriff court civil actions which because of their value or complexity are started as this. The case is detailed in an ordinary writ.
1677951388-187,Ordinary Civil:,"Civil proceedings as above (wider ranging, including divorce etc.). Monetary claim £5,000 and above."
1677951388-188,"Ordinary, Lords:",The judges who try cases at first instance in the Court of Session.
1677951388-189,Outer House:,The part of the Court of Session which exercises a first instance jurisdiction. Cf. Inner House. The Supreme Court is split into these two Houses. The Judges in the Outer House deal with ‘first instance’ (new work) which has not been before a ‘Court’ but may have been before a tribunal or panel. See also Inner House.
1677951388-190,Professional Organisation:,this refers to the Law Society of Scotland or the Faculty of Advocates of the Association of Commercial Attorneys.
1677951388-191,Practitioner:,"On our website, this refers to: a solicitor who is a member of the Law Society of Scotland; an advocate who is a member of the Faculty of Advocates; a conveyancing or executry practitioner regulated by the Law Society of Scotland; a member of the Association of Commercial Attorneys."
1677951388-192,Pari passu:,"To share and share alike or ranking equally, e.g. in the case of claims or security rights."
1677951388-193,Parole evidence:,"Oral evidence of witnesses, as contrasted with documentary evidence."
1677951388-194,Per incuriam:,"Through negligence, mistake or error."
1677951388-195,Perjury:,The crime committed by a witness in court proceedings involving the affirmation of a deliberate falsehood on oath or on an affirmation equivalent to oath.
1677951388-196,Per stirpes:,"By descent, i.e. through parent and not in own right. (Where per stirpes the share which would have fallen to the predeceasing parent if alive is divided equally among his children)."
1677951388-197,Petition:,A document by which court proceedings are initiated like a summons but used for specific types of case. Can have various meanings. An indictment originally calls as a petition until the Crown are in a position to indict the accused on the charges. In civil business the term also relates to certain types of applications to the court.
1677951388-198,Petition and Complaint:,The procedure in the Court of Session where the remedy sought is a punishment for failure to obtemper a decree.
1677951388-199,Pleading Diet:,"Date assigned for case to call and for plea to be given i.e. guilty, not guilty, insane etc."
1677951388-200,Pleainlaw:,A short proposition at the end of a written case showing exactly the remedy sought and why.
1677951388-201,Precedent:,(i) The decision of a court regarded as a source of law or authority in the decision of a later case. (ii) A form of deed or writ regarded as basically satisfactory and accordingly suitable for use or adoption in legal practice.
1677951388-202,Precognition:,Preliminary statement by a witness.
1677951388-203,Precognosce:,To take a precognition.
1677951388-204,"President, Lord:",The highest civil Judge in Scotland who presides over the First Division of the Court of Session.
1677951388-205,Proceeded to Evidence:,Similar to evidence led but in a civil proof.
1677951388-206,Procurator-fiscal:,"Literally, the procurator for the fiscal or treasury? now the style of the public prosecutor in the sheriff court."
1677951388-207,Production:,An article produced as evidence in court.
1677951388-208,Pro forma:,A document used as a form or style.
1677951388-209,Pro indiviso:,"In an undivided state, usually in relation to property held by several persons."
1677951388-210,Pro loco et tempore:,Without place and time.
1677951388-211,Pro non scripto:,As not written.
1677951388-212,Proof:,"In addition to its general meaning, this word has the formal sense of the determination of a case by a judge alone after hearing the facts (the evidence). Where evidence is heard on the facts before questions of law are determined, there is said to be a proof before answer."
1677951388-213,Prorogate:,Continue or extend.
1677951388-214,Pro tanto:,For so much.
1677951388-215,Pursuer:,The person suing in an action. The English equivalent is plaintiff.
1677951388-216,Quam primum:,Forthwith or as soon as possible.
1677951388-217,Quantum:,An amount fixed or specified in money as in a claim for damages.
1677951388-218,Quantum valeat:,For as much as it is worth.
1677951388-219,Quasi:,"As if, as though."
1677951388-220,Quoad ultra:,As regards everything else.
1677951388-221,Regulations as to court procedure made by the High:,Acts passed by the Lords of Council and Session relating to civil procedure.
1677951388-222,Receiver:,A person appointed to enforce the rights and remedies of the holders of a floating charge over the assets of a company which is in default in relation to the claim or debt which the charge secures.
1677951388-223,Record:,"The statements of their respective claims and answers by parties to an action, lodged in court? when finally adjusted it is closed by order of the court and becomes the Closed Record? Up to then it is the open record. When used in this sense the words bears the accent on the second syllable."
1677951388-224,Recoveries under Specification:,"Where documents etc. (productions) are likely to be used to prove a case, they sometimes require the Court to grant authority to receive them from a third party e.g. xrays from a hospital."
1677951388-225,Reduce:,To annul or set aside by legal process.
1677951388-226,Register of Inhibitions and Adjudications:,The Register of Notices of personal diligence which affect the voluntary conveyance of real property.
1677951388-227,Register of Sasines:,The Register of Titles to land and heritable property in Scotland.
1677951388-228,Remit:,"The transfer of some matter by one judge to another, but more often by a judge to a person named as, e.g. to an expert “a man of skill”, in order that the latter may inquire and report."
1677951388-229,Repel:,"A Scottish court does not overrule a plea or an objection, it repels it. The opposite is to sustain (or uphold)."
1677951388-230,Repone:,"To repone a defender is to restore him to his position as a litigant when decree in absence has been given against him. Also competent in, e.g. case of failure to lodge documents in appeal to Court of Session."
1677951388-231,Reporter:,"A person appointed to hold a public inquiry? also applied to professional persons, lawyers or others, to whom the court may remit some aspect of a case for investigation or advice? to the officers responsible for bringing cases before children’s hearings? also to those who prepare and compile the published reports of cases decided by the courts."
1677951388-232,Residence Order:,A formal order by a court in relation to whom the child of a relationship should be with.
1677951388-233,Resident Sheriff:,"The Sheriff who holds the commission to sit at a particular Court, as opposed to a Sheriff sitting temporarily i.e. a part-time Sheriff arranged by the Shrieval Booking Unit."
1677951388-234,Res ipsa loquitur:,The thing done or the transaction speaks for itself.
1677951388-235,Res judicata:,"A question decided by competent legal proceedings, which cannot again be raised."
1677951388-236,Respondent:,The party in a civil action defending on appeal.
1677951388-237,Retrocession:,Reconveyance of a right to him who gave it.
1677951388-238,Review:,Revision by a higher court on appeal.
1677951388-239,Rolls:,"Official lists of cases as set down for hearing. Thus, in the Outer House of the Court of Session there is a motion roll? a procedure roll, of cases in which preliminary pleas are to be decided? and the summar roll of cases in the inner house which call for hearing. The single bills is also a roll of the Inner House, being that in which motions are entered for hearing."
1677951388-240,Roup:,Public auction.
1677951388-241,Rubric:,A chapter heading.
1677951388-242,Seised:,See Vest.
1677951388-243,Separatim:,Apart from anything already advanced or pleaded.
1677951388-244,Sequestration:,"To render bankrupt. Strictly, it is a person’s estate which is sequestrated or set aside for the use of his creditors. To sequestrate for rent is to take the furniture, etc., on leased premises to satisfy a claim for rent. Sequestration therefore means a process of bankruptcy, except where qualified by the words “for rent”."
1677951388-245,Service of heir:,The Court process by which an heir proves and acquires a right or title to real estate of an ancestor.
1677951388-246,Sheriff:,A qualified person who sits in judgement. In the sheriff court (there are 49 sheriff courts) in Scotland.
1677951388-247,Signet:,The Seal of the Court of Session and a sign of its authority. It is applied to a summons as authority to serve the summons on the defender.
1677951388-248,Sine die:,No day fixed.
1677951388-249,Sine qua non:,Without whom nothing can be effectually done.
1677951388-250,Sist:,(i) To stay or stop process? (ii) To summon or call as a party.
1677951388-251,Small Claim:,"Civil proceedings for payment, delivery, repossession, implement of obligation (monetary claim not exceeding £3000). This type of simplified action was devised to allow the layman to conduct the case without the need for employing a solicitor."
1677951388-252,Solatium:,Extra damages allowed in certain cases in addition to actual loss – for injury to feelings.
1677951388-253,Solemn Crime:,"Serious criminal offence(s). Proceedings commence by way of a petition and may proceed to an indictment. Maximum penalties on indictment in the sheriff court is 5 years imprisonment, unlimited fine. (Common law). Statute may direct higher penalties for certain statutory offences. There is no maximum on the penalty which may be imposed in the High Court. For less serious crimes, see – Summary Crime."
1677951388-254,Solemn Procedure:,"The procedure under which a person charged on indictment is tried by a judge of the High Court of Justiciary or a sheriff with a jury of 15, the votes of eight being sufficient for a conviction."
1677951388-255,Statute:,An Act of Parliament.
1677951388-256,Statutory Instrument (S.I.):,"The form in which UK orders, rules and regulations or other subordinate legislation are now made superseding, since 1947, statutory rules and orders (S.R.& O.)."
1677951388-257,Scottish Statutory Instrument (S.S.I.):,"The form in which Scottish orders, rules and regulations or other subordinate legislation are now made superseding, since 1947, statutory rules and orders (S.R.& O.)."
1677951388-258,Summary:,"Criminal – see under Summary Crime below? Civil (sheriff court) summary cause is the form of simplified procedure applicable to cases with a limit of £5000 in the case of monetary claims. Summary application is a comprehensive name for applications which can be disposed of in a summary manner. Summary diligence denotes diligence proceeding on a deed or document registered for execution or on certain bills of exchange, in each case without an action constituting the debt. A summary warrant is a warrant issued by the sheriff to a local authority authorising diligence for the recovery of arrears of council tax."
1677951388-259,Summary Cause:,"Civil proceedings as above (perhaps wider ranging). Monetary claim above £3,000 but not exceeding £5,000."
1677951388-260,Summary Crime:,"Less serious criminal offence(s). Proceeds by way of a complaint. Maximum penalties 3 months imprisonment, 6 months for 2nd/subsequent offence of dishonest appropriation or violence? fine not exceeding £5,000. (Common law) Statute may direct higher penalty. For more serious crime, see Solemn Crime."
1677951388-261,Summons:,"Form of writ in the Court of Session issued in name of the sovereign, containing a royal mandate to messengers-at-arms to cite the defender to the Court."
1677951388-262,Superior:,The grantor of a feudal right.
1677951388-263,Supra citatum (Sup cit):,Above cited.
1677951388-264,Surrogatum:,A thing substituted for another.
1677951388-265,Taxation:,As applied to legal expenses including solicitors’ or advocates’ fees incurred in court proceedings or otherwise means the scrutiny of the account by the Auditor of Court to exclude or amend items unjustifiably included or excessively charged.
1677951388-266,Teinds:,Tithes – the tenth part of the annual produce of land out of which a minister’s wage was originally payable.
1677951388-267,Terce:,The widow’s legal right of Dower in real estate.
1677951388-268,Tithe:,"The tenth part of the increase annually arising from the profits of land and stock, allotted to the clergy."
1677951388-269,Trial:,Criminal proceedings (when an accused person has pled not guilty) where the court hears the evidence of witnesses to the alleged crime(s).
1677951388-270,Tribunal:,"A person or body of persons other than a court of law, having power to determine claims or disputes of some particular nature."
1677951388-271,Trustee in Sequestration:,Trustee in Bankruptcy.
1677951388-272,Tutor or Tutrix:,The guardian of an infant.
1677951388-273,Ultimus haeres:,Last heir. The crown.
1677951388-274,Ultra vires:,Beyond their authority.
1677951388-275,Vitious intromission:,The meddling with the moveable estate of a deceased without probate of the Will of other Title
1677951388-276,Verdict:,The decision of a jury on the matter or matters submitted to it by the court.
1677951388-277,Vest (seised):,One is seised or vest in heritable estate when the title is recorded in the appropriate Register or Sasines.
1677951388-278,Vexatious litigant:,A person who takes proceedings primarily for the annoyance or embarrassment of the defender and whose activities in raising actions may be restrained by the Court of Session.
1677951388-279,Volenti non fit injuria:,Accepting the risk of injury.
1677951388-280,Waiting Period:,"The length of time between fixing a trial, proof etc. and the case calling for that purpose."
1677951388-281,Warrandice:,Absolute warrandice is a warranting or assuring of property against all claims whatever.
1677951388-282,Warrant:,"A written authority, e.g. from court, authorising certain actions such as a search of premises or an eviction of occupiers. Also used to signify a document evidencing a right of some kind, e.g. in a title to heritable property. Formal permission bt the Court to cite."
1677951388-283,Writs:,Documents of title.

